date,sales,returns,return_rate,new_customers,avg_order_value,order_source,category,product_id,inventory,profit_margin,profit,month
2023-06-09,1061.81,154.04,14.51,15,70.79,Instagram,Jeans,Polo Shirt,121,0.35,371.63,2023-06
2023-03-03,1397.99,91.71,6.56,23,60.78,Facebook,T-Shirts,Cargo Pants,264,0.3,419.4,2023-03
2023-01-03,587.13,80.21,13.66,8,73.39,Website,Jackets,Watch,409,0.4,234.85,2023-01
2023-11-18,1562.11,81.32,5.21,6,260.35,Direct,Accessories,Baggy Trousers,393,0.45,702.95,2023-11
2023-04-15,1748.66,124.56,7.12,32,54.65,Facebook,Shirts,Polo Shirt,326,0.25,437.17,2023-04
2023-08-20,1426.22,158.55,11.12,33,43.22,Facebook,T-Shirts,Watch,285,0.3,427.87,2023-08
2023-12-11,534.59,54.78,10.25,35,15.27,Direct,Accessories,Sweatshirt,219,0.45,240.57,2023-12
2023-02-10,570.0,84.0,14.74,19,30.0,Other,Shirts,Baggy Pants,239,0.25,142.5,2023-02
2023-09-20,635.91,71.12,11.18,16,39.74,Facebook,T-Shirts,Drop Shoulder T-shirt,104,0.3,190.77,2023-09
2023-07-08,1974.85,190.92,9.67,9,219.43,Other,Jeans,Half-Sleeve Shirt,356,0.35,691.2,2023-07
2023-08-27,1520.46,144.52,9.5,22,69.11,Facebook,Shirts,Baggy Trousers,437,0.25,380.12,2023-08
2023-12-14,1913.3,203.44,10.63,30,63.78,Instagram,Jackets,Tank Top,314,0.4,765.32,2023-12
2023-12-26,523.95,38.3,7.31,32,16.37,Direct,Jackets,Tank Top,416,0.4,209.58,2023-12
2023-02-24,1524.9,169.26,11.1,12,127.07,Instagram,Jeans,Joggers,480,0.35,533.71,2023-02
2023-01-18,760.05,67.72,8.91,22,34.55,Facebook,Accessories,Leather Jacket,409,0.45,342.02,2023-01
2023-03-06,1633.04,151.08,9.25,26,62.81,Facebook,T-Shirts,Baggy Trousers,155,0.3,489.91,2023-03
2023-03-19,1351.55,71.81,5.31,22,61.43,Facebook,Shirts,Sneakers,267,0.25,337.89,2023-03
2023-02-21,1174.63,105.15,8.95,8,146.83,Other,Jackets,Slim Fit Jeans,319,0.4,469.85,2023-02
2023-05-03,1590.91,131.5,8.27,18,88.38,Website,Jackets,Loafers,264,0.4,636.36,2023-05
2023-05-21,1281.25,187.21,14.61,25,51.25,Other,Jackets,Loafers,257,0.4,512.5,2023-05
2023-04-18,1620.98,168.53,10.4,28,57.89,Facebook,Jackets,Loafers,459,0.4,648.39,2023-04
